location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 42.4348824998017, ""longitude"": 2.915806841728957}",FONT PETITA 17041-0004,"17708, Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT PETITA del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 42.43708035728053, ""longitude"": 2.916351022327993}",FONT DE LES 4 AIXETES 17041-0003,"17708, Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LES 4 AIXETES del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 42.43708035728053, ""longitude"": 2.916351022327993}",FONT DE LES 4 AIXETES 17041-0003,"17708, Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LES 4 AIXETES del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 41.76628568862512, ""longitude"": 2.917637129030714}",FONT D'EN DALMAU 17202-0040,"Cl Puig-Becasses (F. Bona) 8, 17240 Tossa de Mar, Girona, Spain",,,2024-05-11 16:26:21,,"FONT D'EN DALMAU del TOSSA DE MAR de la Selva, es Conques internes de Catalunya CAP DE BEGUR-BLANES, RIERES DEL , nan",publico
"{""latitude"": 41.90080465688627, ""longitude"": 2.918320472726383}",FONT DEL GANSO 17901-0112,"17118, Cruïlles - Monells i Sant Sadurní de l'Heura, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DEL GANSO del CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HEURA de la Baix Empordà, es Conques internes de Catalunya TER, EL , nan",publico
"{""latitude"": 41.99514177043349, ""longitude"": 2.918924391331543}",FONT DE CAN RATA 17173-0028,"17462, Sant Martí Vell, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE CAN RATA del SANT MARTÍ VELL de la Gironès, es Conques internes de Catalunya TER, EL , nan",publico
"{""latitude"": 42.4348824998017, ""longitude"": 2.915806841728957}",FONT PETITA 17041-0004,"17708, Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT PETITA del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 42.09905717144514, ""longitude"": 2.91523666804559}",FONT DE CAN SANÇ 17216-0052,"Disseminat Can Sans 25, 17464 Viladasens, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE CAN SANÇ del VILADASENS de la Gironès, es Conques internes de Catalunya TER, EL , Detrític neogen de l'EmpordàEmpordà",publico
"{""latitude"": 42.09905717144514, ""longitude"": 2.91523666804559}",FONT DE CAN SANÇ 17216-0052,"Disseminat Can Sans 25, 17464 Viladasens, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE CAN SANÇ del VILADASENS de la Gironès, es Conques internes de Catalunya TER, EL , Detrític neogen de l'EmpordàEmpordà",publico
"{""latitude"": 42.43468843179696, ""longitude"": 2.909326984292445}",FONT VERMA 17041-0013,"17708, Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT VERMA del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya LA MUGA el Llobregat (d'Empordà), Conca alta de la MugaConca alta de la Muga",publico
