location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 41.387735, ""longitude"": 2.189875}",porta principal Zoo (Wellington) 01-001,"C WELLINGTON, 21.I",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.379146, ""longitude"": 2.188965}",Sant Carles 01-004,"C COMTE DE SANTA CLARA, 11",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.381533, ""longitude"": 2.187664}",C. Carbonell 01-005,"C CARBONELL, 9",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.38216, ""longitude"": 2.188051}",Balboa 01-006,"C BALBOA, 9",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.38349, ""longitude"": 2.185366}",Ocata 01-007,"C MARQUESA, 13",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.389015, ""longitude"": 2.186812}",costat llac 01-008,"PARC CIUTADELLA, 20.I",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.389369, ""longitude"": 2.185929}",davant cascada 01-009,"PG JOAQUIM RENART, 20-10",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.387522, ""longitude"": 2.184143}",entre Hivernacle i museu 01-011,"PG PICASSO, 12.I",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.385405, ""longitude"": 2.174567}",Magdalenes 01-013,"C CAPELLANS, 20-18",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.387784, ""longitude"": 2.187052}",biblioteca 01-015,"PAS INSTITUT ESCOLA, 16.I",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.378428, ""longitude"": 2.178687}",  01-016,"PL DUC DE MEDINACELI, 1-1.B",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.376796, ""longitude"": 2.175396}",Santa Madrona 01-017,"C MONTSERRAT, 12-14",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.384138, ""longitude"": 2.171068}",Hotel Rivoli 01-018,"C LA RAMBLA, 128",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.383547, ""longitude"": 2.171444}",magatzems Sepu 01-019,"C LA RAMBLA, 120",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.378903, ""longitude"": 2.170882}",Salvador Seguí 01-022,"PL SALVADOR SEGUÍ, 16-17",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.380551, ""longitude"": 2.166253}",Peu de la Creu 01-023,"C PEU DE LA CREU, 32",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.376791, ""longitude"": 2.173739}",Drassanes 01-025,"C ARC DEL TEATRE, 24-28",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.383653, ""longitude"": 2.18315}",Dames 01-026,"C DAMES, 6",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.378351, ""longitude"": 2.189911}",Mestrança / Meer 01-027,"C MEER, 18",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.385732, ""longitude"": 2.185375}",  01-031,"PG PICASSO, 44-42",,,2024-05-11 19:54:35,,Font de beure,
"{""latitude"": 41.381309, ""longitude"": 2.181374}",Fusteria 01-032,"PL ANTONIO LOPEZ, 1",,,2024-05-11 19:54:35,,Font de beure,
